concorrente,feature,possui
Cloudia,WhatsApp,1
Cloudia,Instagram,1
Cloudia,Messenger,1
Cloudia,Webchat,1
Cloudia,Disparo em massa,1
Cloudia,Fluxos automatizados,1
Cloudia,Sequencias,1
Cloudia,Encaminhamento humano,1
Cloudia,Agenda integrada,1
Cloudia,Dashboard,1
Cloudia,Relatorios,1
Cloudia,CRM,1
Cloudia,Funil de vendas,1
Cloudia,Audio,1
Cloudia,IA basica,1
Cloudia,IA contextual,0
Cloudia,Memoria paciente,0
Cloudia,Follow-up automatico,0
Cloudia,Reativacao paciente,0
Cloudia,Lembrete inteligente,0
Cloudia,Remarcacao automatica,0
Cloudia,Personalidade bot,0
Cloudia,Tom emocional,0

Huggy,WhatsApp,1
Huggy,Instagram,1
Huggy,Messenger,1
Huggy,Webchat,1
Huggy,Disparo em massa,1
Huggy,Fluxos automatizados,1
Huggy,Sequencias,1
Huggy,Encaminhamento humano,1
Huggy,Agenda integrada,0
Huggy,Dashboard,1
Huggy,Relatorios,1
Huggy,CRM,1
Huggy,Funil de vendas,1
Huggy,Audio,0
Huggy,IA basica,1
Huggy,IA contextual,0
Huggy,Memoria paciente,0
Huggy,Follow-up automatico,0
Huggy,Reativacao paciente,0
Huggy,Lembrete inteligente,0
Huggy,Remarcacao automatica,0
Huggy,Personalidade bot,0
Huggy,Tom emocional,0

Blip,WhatsApp,1
Blip,Instagram,1
Blip,Messenger,1
Blip,Webchat,1
Blip,Disparo em massa,1
Blip,Fluxos automatizados,1
Blip,Sequencias,1
Blip,Encaminhamento humano,1
Blip,Agenda integrada,0
Blip,Dashboard,1
Blip,Relatorios,1
Blip,CRM,1
Blip,Funil de vendas,1
Blip,Audio,0
Blip,IA basica,1
Blip,IA contextual,0
Blip,Memoria paciente,0
Blip,Follow-up automatico,0
Blip,Reativacao paciente,0
Blip,Lembrete inteligente,0
Blip,Remarcacao automatica,0
Blip,Personalidade bot,0
Blip,Tom emocional,0

Nosso SaaS,WhatsApp,1
Nosso SaaS,Instagram,1
Nosso SaaS,Messenger,1
Nosso SaaS,Webchat,1
Nosso SaaS,Disparo em massa,1
Nosso SaaS,Fluxos automatizados,1
Nosso SaaS,Sequencias,1
Nosso SaaS,Encaminhamento humano,1
Nosso SaaS,Agenda integrada,1
Nosso SaaS,Dashboard,1
Nosso SaaS,Relatorios,1
Nosso SaaS,CRM,1
Nosso SaaS,Funil de vendas,1
Nosso SaaS,Audio,1
Nosso SaaS,IA basica,1
Nosso SaaS,IA contextual,1
Nosso SaaS,Memoria paciente,1
Nosso SaaS,Follow-up automatico,1
Nosso SaaS,Reativacao paciente,1
Nosso SaaS,Lembrete inteligente,1
Nosso SaaS,Remarcacao automatica,1
Nosso SaaS,Personalidade bot,1
Nosso SaaS,Tom emocional,1
